"Service","VPC($)","Tax($)","EC2-Other($)","Elastic Container Service for Kubernetes($)","Key Management Service($)","EC2 Container Registry (ECR)($)","S3($)","Glue($)","EC2-Instances($)","SNS($)","CloudWatch($)","Total costs($)"
"Service total","1.10454305","0.31","0.224","0.205926666","0.149193546","0.0010149786","0.0003302513","0","0","0","0","1.9950084919"
"2026-05-01","1.10454305","0.31","0.224","0.205926666","0.149193546","0.0010149786","0.0003302513","0","0","0","0","1.9950084919"
